drqv2_aug_pixels-True-contrast-14.0,drqv2_aug_pixels-True-contrast-1.2,drqv2_aug_pixels-True-contrast-12.5,drqv2_aug_pixels-True-contrast-3.0,drqv2_aug_pixels-True-contrast-1.4,drqv2_aug_pixels-True-contrast-1.3,drqv2_aug_pixels-True-contrast-9.0,drqv2_aug_pixels-True-contrast-0.8,drqv2_aug_pixels-True-contrast-2.5,drqv2_aug_pixels-True-contrast-0.1,drqv2_aug_pixels-True-contrast-8.5,drqv2_aug_pixels-True-contrast-11.5,drqv2_aug_pixels-True-contrast-0.6,drqv2_aug_pixels-True-contrast-0.7,drqv2_aug_pixels-True-contrast-0.9,drqv2_aug_pixels-True-contrast-13.0,drqv2_aug_pixels-True-contrast-1.6,drqv2_aug_pixels-True-contrast-9.5,drqv2_aug_pixels-True-contrast-10.5,drqv2_aug_pixels-True-contrast-1.1,drqv2_aug_pixels-True-contrast-3.5,drqv2_aug_pixels-True-contrast-1.8,drqv2_aug_pixels-True-contrast-12.0,drqv2_aug_pixels-True-contrast-1.9,drqv2_aug_pixels-True-contrast-1.0,drqv2_aug_pixels-True-contrast-1.7,drqv2_aug_pixels-True-contrast-14.5,drqv2_aug_pixels-True-contrast-15.0,drqv2_aug_pixels-True-contrast-13.5,drqv2_aug_pixels-True-contrast-0.5,drqv2_aug_pixels-True-contrast-0.2,drqv2_aug_pixels-True-contrast-11.0,drqv2_aug_pixels-True-contrast-0.3,drqv2_aug_pixels-True-contrast-2.0
6.1,93.4,5.5,5.7,31.6,92.9,6.1,788.6,5.7,5.8,5.5,6.1,663.6,770.7,763.0,5.5,41.1,5.5,5.5,213.3,5.5,32.6,5.5,5.5,765.0,18.7,5.5,5.5,5.5,652.6,91.7,5.5,12.8,5.7
13.8,199.0,18.0,18.5,127.8,284.1,13.8,831.0,18.6,22.2,18.0,13.8,542.7,816.0,822.7,18.0,123.3,18.0,18.0,283.6,18.0,84.3,18.0,18.5,801.1,56.6,18.0,18.0,18.0,497.7,100.0,18.0,275.6,18.6
6.6,100.0,22.9,23.9,130.3,160.6,6.6,847.4,25.0,1.4,22.9,6.6,723.9,817.9,851.2,22.9,141.6,22.9,22.9,455.0,22.9,80.3,22.9,24.3,838.1,81.6,22.9,22.9,22.9,630.2,3.0,22.9,380.7,24.0
12.7,86.0,11.2,11.1,113.7,92.1,12.7,808.8,11.0,4.1,11.2,12.7,685.1,791.0,799.4,11.2,70.4,11.2,11.2,394.4,11.2,58.7,11.2,11.2,764.2,28.4,11.2,11.2,11.2,728.5,6.6,11.2,184.3,10.7
5.4,93.3,11.2,11.7,121.7,184.8,5.4,832.3,11.9,4.2,11.2,5.4,756.5,812.6,836.3,11.2,23.9,11.2,11.2,605.8,11.2,31.4,11.2,11.3,812.6,36.2,11.2,11.2,11.2,91.5,144.3,11.2,45.6,11.4
5.8,92.9,5.5,5.7,92.7,92.5,5.8,818.6,5.5,0.0,5.5,5.8,758.0,816.2,835.6,5.5,39.0,5.5,5.5,626.4,5.5,19.0,5.5,5.6,814.7,17.7,5.5,5.5,5.5,646.1,0.0,5.5,10.7,5.0
5.5,34.9,11.0,11.0,93.6,184.7,5.5,770.4,11.5,0.0,11.0,5.5,669.7,775.5,758.3,11.0,49.1,11.0,11.0,384.8,11.0,48.5,11.0,11.2,756.2,32.1,11.0,11.0,11.0,368.5,181.1,11.0,26.7,10.9
10.8,185.9,12.3,12.4,88.9,0.0,10.8,839.4,12.5,0.0,12.3,10.8,768.5,818.6,825.8,12.3,36.7,12.3,12.3,617.7,12.3,26.3,12.3,12.1,810.8,15.9,12.3,12.3,12.3,582.2,0.0,12.3,57.1,11.6
5.9,55.0,11.1,11.7,274.7,70.1,5.9,839.3,10.9,0.0,11.1,5.9,788.3,815.9,838.8,11.1,76.9,11.1,11.1,644.2,11.1,51.8,11.1,11.4,820.7,40.1,11.1,11.1,11.1,608.3,0.0,11.1,117.4,11.1
11.1,118.2,5.6,5.8,136.3,77.5,10.9,778.5,5.5,0.0,5.6,11.1,720.8,784.9,814.4,5.6,31.9,5.6,5.6,590.5,5.5,26.8,5.6,5.8,784.4,19.4,5.6,5.6,5.6,633.9,0.8,5.6,8.6,5.4
11.3,185.7,17.7,18.9,356.6,283.4,11.6,771.5,18.4,0.0,17.7,11.3,641.1,807.6,797.8,17.7,130.5,17.7,17.7,604.6,17.7,76.8,17.7,18.7,795.7,49.1,17.7,17.7,17.7,526.0,283.2,17.7,183.9,18.5
19.1,283.9,10.7,11.3,144.0,182.3,19.1,854.1,11.2,2.0,10.7,19.1,768.3,852.0,849.0,10.7,59.9,10.7,10.7,684.6,10.7,51.8,10.7,11.8,814.2,33.0,10.7,10.7,10.7,589.2,183.4,10.7,22.4,11.4
6.0,93.1,11.7,5.9,51.0,0.0,6.0,820.3,12.1,0.0,11.7,6.0,684.5,826.2,819.5,11.7,33.5,11.7,11.7,799.5,11.4,74.4,11.7,5.7,793.1,29.6,11.7,11.7,11.7,572.0,165.8,11.7,186.9,11.7
12.9,190.5,15.7,16.8,118.2,270.4,12.9,855.4,16.9,2.0,15.7,12.9,705.4,851.1,854.8,15.7,99.1,15.7,15.7,785.7,15.9,67.3,15.7,18.7,830.4,53.9,15.7,15.7,15.7,642.3,273.0,15.7,211.6,16.6
26.0,382.9,30.0,31.1,186.1,373.9,26.0,878.0,29.7,4.5,30.0,26.0,764.5,890.7,885.6,30.0,214.5,30.0,30.0,863.5,30.3,113.2,30.0,30.5,874.2,82.4,30.0,30.0,30.0,693.6,415.9,30.0,315.2,29.7
20.1,284.8,12.8,12.8,114.9,191.6,20.1,825.3,12.7,10.5,12.8,20.1,676.9,823.9,822.2,12.8,57.8,12.8,12.8,753.8,12.9,67.2,12.8,13.2,795.8,35.2,12.8,12.8,12.8,645.6,191.5,12.8,109.9,13.1
11.2,186.1,24.8,25.1,155.0,185.7,11.2,854.0,24.6,0.0,24.8,11.2,621.9,845.3,846.6,24.8,152.0,24.8,24.8,814.8,24.6,117.0,24.8,24.5,834.4,66.5,24.8,24.8,24.8,716.3,0.0,24.8,35.4,24.9
5.6,78.2,5.6,5.1,59.1,93.2,5.6,802.4,5.6,0.0,5.6,5.6,712.0,803.4,794.7,5.6,40.1,5.6,5.6,773.3,5.6,30.9,5.6,5.9,781.7,20.1,5.6,5.6,5.6,635.8,0.0,5.6,10.3,5.7
14.6,200.0,11.9,12.0,63.0,86.9,14.6,775.3,11.9,4.1,11.9,14.6,615.2,771.8,764.2,11.9,60.0,11.9,11.9,737.2,11.9,53.0,11.9,12.1,758.6,36.1,11.9,11.9,11.9,647.9,193.3,11.9,20.9,12.7
5.7,92.9,0.0,0.0,66.5,0.0,5.7,778.7,0.0,0.0,0.0,5.7,633.1,765.9,771.1,0.0,0.0,0.0,0.0,723.5,0.0,0.0,0.0,0.0,746.7,0.0,0.0,0.0,0.0,519.3,0.0,0.0,0.0,0.0
25.1,342.1,12.7,13.0,179.9,192.2,25.1,819.8,12.6,3.3,12.7,25.1,744.6,803.8,817.5,12.7,72.0,12.7,12.7,783.9,12.7,43.8,12.7,13.1,800.2,37.4,12.7,12.7,12.7,650.2,200.0,12.7,111.1,15.0
5.6,93.2,5.4,5.8,334.6,85.4,5.6,821.4,5.8,0.0,5.4,5.6,707.9,800.3,809.6,5.4,28.4,5.4,5.4,783.7,5.0,23.1,5.4,6.1,790.5,22.2,5.4,5.4,5.4,696.8,91.1,5.4,10.5,5.7
14.3,194.5,21.7,24.1,216.5,369.7,14.3,825.8,22.7,4.0,21.7,14.3,717.5,804.7,822.8,21.7,148.1,21.7,21.7,781.1,21.4,107.8,21.7,22.2,807.4,74.2,21.7,21.7,21.7,641.0,339.2,21.7,36.9,22.5
13.2,200.0,29.5,32.5,413.4,478.6,13.2,824.6,30.4,2.6,29.5,13.2,677.9,795.5,823.1,29.5,184.3,29.5,29.5,816.2,29.6,118.2,29.5,31.2,812.6,91.7,29.5,29.5,29.5,669.2,471.4,29.5,63.1,31.5
7.8,100.0,5.7,5.7,105.7,42.0,7.8,730.5,5.6,2.6,5.7,7.8,513.8,745.6,736.2,5.7,34.6,5.7,5.7,701.3,5.7,20.8,5.7,5.9,712.4,25.3,5.7,5.7,5.7,124.0,89.9,5.7,7.7,5.8
10.6,186.1,16.8,18.0,269.8,185.5,10.6,826.3,17.7,0.0,16.8,10.6,711.5,804.2,838.6,16.8,90.5,16.8,16.8,783.9,17.2,66.7,16.8,18.8,817.0,57.0,16.8,16.8,16.8,728.0,275.9,16.8,31.4,17.8
11.6,187.4,11.1,11.4,309.7,133.3,11.6,849.7,11.5,0.0,11.1,11.6,719.7,848.0,855.8,11.1,68.7,11.1,11.1,841.4,11.2,38.7,11.1,11.3,846.8,32.5,11.1,11.1,11.1,793.8,185.9,11.1,18.8,11.5
11.6,193.2,24.4,26.5,674.6,278.0,11.6,879.1,24.7,1.1,24.4,11.6,772.3,881.7,882.7,24.4,121.6,24.4,24.4,851.7,24.5,82.6,24.4,25.4,863.0,72.3,24.4,24.4,24.4,219.0,285.4,24.4,132.7,25.4
11.4,179.4,11.1,12.1,527.2,92.9,11.4,818.4,11.3,0.0,11.1,11.4,768.1,821.0,856.8,11.1,57.9,11.1,11.1,830.2,11.3,43.3,11.1,11.6,839.8,32.8,11.1,11.1,11.1,708.8,92.6,11.1,17.1,11.5
0.0,0.0,11.3,11.8,395.8,185.6,0.0,785.8,12.1,0.0,11.3,0.0,646.8,783.1,792.6,11.3,60.9,11.3,11.3,764.7,11.0,42.2,11.3,11.9,766.2,35.1,11.3,11.3,11.3,204.0,184.7,11.3,19.5,11.2
11.6,93.1,10.8,11.5,482.4,183.7,11.6,819.8,11.4,0.0,10.8,11.6,744.7,824.9,812.9,10.8,82.9,10.8,10.8,815.9,11.0,46.0,10.8,11.8,814.3,42.4,10.8,10.8,10.8,494.3,184.0,10.8,19.4,11.3
5.7,92.8,5.7,6.9,654.2,93.2,5.7,821.6,6.4,0.0,5.7,5.7,685.0,825.9,828.3,5.7,55.8,5.7,5.7,800.7,6.0,0.0,5.7,6.4,800.4,17.3,5.7,5.7,5.7,671.7,0.0,5.7,8.8,5.6
10.7,186.2,17.4,11.5,611.9,185.7,10.7,822.7,17.6,0.0,17.4,10.7,757.3,826.7,833.1,17.4,170.0,17.4,17.4,792.7,17.4,46.0,17.4,11.6,803.0,49.9,17.4,17.4,17.4,590.3,3.0,17.4,113.5,17.9
23.9,379.2,18.1,19.4,351.8,185.5,23.9,863.9,19.4,1.6,18.1,23.9,775.6,854.8,858.0,18.1,162.6,18.1,18.1,835.3,18.0,62.8,18.1,19.6,830.4,36.8,18.1,18.1,18.1,478.7,152.0,18.1,33.4,18.1
5.3,93.1,11.4,12.3,401.5,183.1,5.3,813.1,11.9,0.0,11.4,5.3,707.9,793.4,811.2,11.4,158.0,11.4,11.4,781.7,11.3,23.7,11.4,12.5,795.9,36.9,11.4,11.4,11.4,206.4,1.2,11.4,16.8,11.4
18.6,285.0,17.5,12.3,258.6,185.1,18.6,737.7,18.4,2.1,17.5,18.6,761.0,821.6,851.7,17.5,91.4,17.5,17.5,826.3,17.8,42.9,17.5,11.8,823.4,53.4,17.5,17.5,17.5,445.3,132.8,17.5,204.9,18.3
6.0,93.0,11.5,15.5,294.7,185.2,6.0,801.7,12.0,0.0,11.5,6.0,707.6,786.5,792.6,11.5,59.5,11.5,11.5,789.4,11.4,40.4,11.5,12.4,797.7,34.3,11.5,11.5,11.5,471.3,0.0,11.5,22.5,11.6
11.3,186.2,0.0,0.0,500.0,0.0,11.3,805.5,0.0,0.0,0.0,11.3,658.4,806.1,794.6,0.0,0.0,0.0,0.0,769.2,0.0,0.0,0.0,0.0,770.5,0.0,0.0,0.0,0.0,613.2,0.0,0.0,0.0,0.0
5.4,91.6,17.7,13.0,498.0,283.3,5.4,816.7,18.8,0.0,17.7,5.4,727.0,804.5,809.4,17.7,97.6,17.7,17.7,794.2,17.8,62.8,17.7,20.0,803.5,54.0,17.7,17.7,17.7,525.8,0.0,17.7,116.5,18.9
6.1,93.3,0.0,0.0,377.6,0.0,6.1,760.1,0.0,0.0,0.0,6.1,645.9,771.8,755.1,0.0,0.0,0.0,0.0,758.9,0.0,0.0,0.0,0.0,764.4,0.0,0.0,0.0,0.0,423.7,0.0,0.0,0.0,0.0
25.7,385.7,25.9,28.3,731.1,360.1,25.7,869.2,26.8,14.7,25.9,25.7,764.7,861.0,861.0,25.9,115.4,25.9,25.9,842.1,25.8,89.6,25.9,31.6,854.6,77.2,25.9,25.9,25.9,625.2,374.1,25.9,215.4,26.2
18.9,292.5,19.4,14.6,222.3,101.2,18.9,820.7,13.6,2.6,19.4,18.9,760.9,822.9,831.6,19.4,97.7,19.4,19.4,822.5,19.2,41.2,19.4,16.9,834.0,36.3,19.4,19.4,19.4,686.3,292.7,19.4,24.8,19.0
5.9,92.0,24.5,26.2,549.1,371.4,5.9,833.5,25.8,3.7,24.5,5.9,752.0,821.4,815.9,24.5,124.3,24.5,24.5,819.8,24.0,70.8,24.5,27.8,826.4,78.8,24.5,24.5,24.5,670.0,330.9,24.5,36.0,23.9
16.2,279.0,5.4,6.1,589.6,93.3,16.0,822.2,5.8,0.0,5.4,16.0,736.6,802.0,829.6,5.4,37.6,5.4,5.4,798.5,5.3,18.3,5.4,6.1,808.1,20.1,5.4,5.4,5.4,421.0,0.0,5.4,10.0,5.8
11.1,185.9,11.0,12.6,652.8,111.9,11.1,823.0,12.4,0.0,11.0,11.1,746.7,821.1,835.1,11.0,71.3,11.0,11.0,799.1,11.6,42.5,11.0,11.8,816.7,35.9,11.0,11.0,11.0,264.1,183.9,11.0,25.4,12.0
17.9,285.2,13.8,16.7,569.3,199.2,17.9,842.3,15.1,4.9,13.8,17.9,721.2,846.3,843.9,13.8,58.0,13.8,13.8,821.0,13.9,43.6,13.8,15.4,825.3,42.1,13.8,13.8,13.8,555.2,188.0,13.8,20.5,14.0
12.9,192.2,17.5,21.1,623.7,171.3,12.9,823.5,19.2,1.8,17.5,12.9,637.7,813.0,822.8,17.5,69.9,17.5,17.5,800.7,17.4,38.8,17.5,21.0,816.1,48.7,17.5,17.5,17.5,492.0,229.3,17.5,1.1,17.7
11.4,186.7,5.8,8.2,629.5,77.3,11.4,814.9,6.8,0.0,5.8,11.4,627.1,814.0,827.6,5.8,30.9,5.8,5.8,789.6,6.0,18.8,5.8,7.1,798.3,20.6,5.8,5.8,5.8,68.6,92.4,5.8,0.0,6.4
22.5,372.6,5.8,7.7,701.3,93.3,22.5,844.4,6.6,0.0,5.8,22.5,666.2,838.0,840.1,5.8,31.8,5.8,5.8,813.8,6.2,0.0,5.8,6.9,828.8,17.3,5.8,5.8,5.8,623.1,0.0,5.8,0.8,5.8
5.6,92.4,11.2,14.7,658.8,184.1,5.6,783.0,12.5,0.0,11.2,5.6,598.4,786.0,783.5,11.2,64.3,11.2,11.2,768.7,11.7,47.6,11.2,12.3,776.4,31.5,11.2,11.2,11.2,611.9,83.8,11.2,12.9,12.0
35.0,565.2,19.8,22.8,817.4,292.8,35.0,914.7,21.1,6.1,19.8,35.0,722.0,911.9,903.5,19.8,95.4,19.8,19.8,874.2,20.3,62.1,19.8,37.0,878.2,54.1,19.8,19.8,19.8,762.8,199.8,19.8,11.9,21.5
0.0,0.0,0.0,0.0,539.5,0.0,0.0,779.7,0.0,0.0,0.0,0.0,662.5,773.4,771.3,0.0,0.0,0.0,0.0,735.9,0.0,0.0,0.0,0.0,754.1,0.0,0.0,0.0,0.0,329.5,0.0,0.0,0.0,0.0
0.0,0.0,5.6,0.0,767.7,93.2,0.0,810.8,6.3,0.0,5.6,0.0,734.3,803.7,810.8,5.6,31.1,5.6,5.6,789.4,6.1,22.4,5.6,6.5,807.5,17.4,5.6,5.6,5.6,433.6,26.7,5.6,0.0,5.8
17.7,285.1,18.9,3.7,724.7,211.4,17.7,814.4,20.3,6.1,18.9,17.7,625.6,807.5,818.8,18.9,79.8,18.9,18.9,805.0,19.8,59.1,18.9,28.6,808.4,52.8,18.9,18.9,18.9,611.5,106.2,18.9,103.8,20.0
18.8,286.5,16.9,14.5,703.1,277.5,18.8,868.3,18.0,2.3,16.9,18.8,722.4,866.6,873.5,16.9,85.6,16.9,16.9,846.6,16.4,59.7,16.9,38.5,851.7,51.0,16.9,16.9,16.9,458.5,30.9,16.9,40.4,17.4
6.1,100.0,12.1,11.7,670.4,192.6,6.1,828.1,13.8,1.2,12.1,6.1,524.1,830.6,827.6,12.1,68.6,12.1,12.1,801.5,12.4,39.5,12.1,17.2,810.3,37.2,12.1,12.1,12.1,287.8,191.5,12.1,37.2,12.7
16.4,279.4,6.3,0.0,752.2,0.0,16.4,793.4,0.0,0.0,6.3,16.4,632.4,764.5,806.0,6.3,0.0,6.3,6.3,782.5,0.0,20.2,6.3,7.9,774.4,17.7,6.3,6.3,6.3,480.9,0.0,6.3,17.1,7.7
0.0,0.0,0.0,0.0,763.7,0.0,0.0,815.9,0.0,0.0,0.0,0.0,576.7,808.5,816.5,0.0,0.0,0.0,0.0,785.3,0.0,0.0,0.0,0.0,789.9,0.0,0.0,0.0,0.0,666.1,0.0,0.0,57.1,0.0
